Reason,URL,"_raw","_time",action,active,"active_hist_searches","active_realtime_searches",app,"attr.message.category","attr.message.category_id","attr.message.msg","attr.message.session_name","attr.message.thread","attr.message.ts_sec","attr.message.ts_usec","attr.message.verbose_level","attr.message.verbose_level_id",autoload,"avg_rsv","avg_time_spent_in_queue","bucket_count",build,"busiest_thread_name",bytes,c,capacity,clientip,code,color,component,cookie,count,"cpu_max","cpu_total",created,"created_replicas",ctx,"current_hot","current_hot_replicas","current_queue_size","current_size","current_total","date_hour","date_mday","date_minute","date_month","date_second","date_wday","date_year","date_zone",digest,"discarded_new","discarded_old","drop_count","due_to_stanza",duration,durationMS,"dutycycle_ratio","enqueue_seaches_count","event_message",eventtype,expectedCode,failed,feature,file,frozen,group,hits,host,hostname,hotWarmPath,id,ident,idx,index,"ingest_pipe",innerLockTime,instanceType,isFree,isTrial,"jobs_added","jobs_finished","largest_queue_size","largest_size",level,limit,line,linecount,location,"log_level","max_size","max_time_spent_in_queue","max_used","max_used_interval","mean_preview_period",message,method,"min_queue_size",misses,msg,nCompleted,nCurrent,nDownloadFail,nInstallFail,nInstallOk,nReceived,nStarted,nUninstallFail,nUninstallOk,name,namespace,"node_path","node_type","num_evictions","open_buckets",operation,other,"output_mode",pendingBucketUpdates,product,productType,punct,ratio,referer,"referer_domain",released,"rep_used","req_time",requestURL,requestid,"requests_last_period",rolled,root,s,search,service,share,showCommandHelp,showCommandHistory,showFieldInfo,sid,"smallest_size",snippet,snippetEmbedJS,"sort_dir","sort_key",source,sourcetype,spent,"splunk_server","splunk_server_group",status,"t.$date",thread,"thread_id","thread_name",time,timeendpos,timestartpos,"total_removed",trace,uri,"uri_domain","uri_path","uri_query",useTypeahead,used,user,useragent,version,volumeCompletedKB,"wallclock_ms_max","wallclock_ms_total"
,,"127.0.0.1 - kali [19/Feb/2025:06:26:45.820 -0500] ""GET /en-US/splunkd/__raw/services/search/timeparser?output_mode=json&time=now&_=1739964386144 HTTP/1.1"" 200 39 ""-"" ""Mozilla/5.0 (X11; Linux x86_64; rv:128.0) Gecko/20100101 Firefox/128.0"" - 026f9a0c852246e809385395c50d8418 0ms","2025-02-19T06:26:45.820-0500",,,,,,,,,,,,,,,,,,,,,39,,,"127.0.0.1",,,,,,,,,,,,,,,,6,19,26,february,45,wednesday,2025,"-300",,,,,,,,,,,,,,,timeparser,,,,kali,,,,"-",,"_internal",,,,,,,,,,,,,1,,,,,,,,,GET,,,,,,,,,,,,,,,,,,,,"- 026f9a0c852246e809385395c50d8418 0ms",json,,,,"..._-__[//:::._-]_""_/-/////?=&=&=_/.""___""-""_""/._(;",,"-",,,,"19/Feb/2025:06:26:45.820 -0500",,,,,"en-US",,,,,,,,,,,,,,"/opt/splunk/var/log/splunk/splunkd_ui_access.log","splunkd_ui_access",0,kali,,200,,,,,now,48,18,,,"/en-US/splunkd/__raw/services/search/timeparser?output_mode=json&time=now&_=1739964386144",,"/en-US/splunkd/__raw/services/search/timeparser","output_mode=json&time=now&_=1739964386144",,,kali,"Mozilla/5.0 (X11; Linux x86_64; rv:128.0) Gecko/20100101 Firefox/128.0","HTTP/1.1",,,
,,"127.0.0.1 - kali [19/Feb/2025:06:26:45.819 -0500] ""GET /en-US/splunkd/__raw/services/search/timeparser?output_mode=json&time=0&_=1739964386143 HTTP/1.1"" 200 37 ""-"" ""Mozilla/5.0 (X11; Linux x86_64; rv:128.0) Gecko/20100101 Firefox/128.0"" - 026f9a0c852246e809385395c50d8418 1ms","2025-02-19T06:26:45.819-0500",,,,,,,,,,,,,,,,,,,,,37,,,"127.0.0.1",,,,,,,,,,,,,,,,6,19,26,february,45,wednesday,2025,"-300",,,,,,,,,,,,,,,timeparser,,,,kali,,,,"-",,"_internal",,,,,,,,,,,,,1,,,,,,,,,GET,,,,,,,,,,,,,,,,,,,,"- 026f9a0c852246e809385395c50d8418 1ms",json,,,,"..._-__[//:::._-]_""_/-/////?=&=&=_/.""___""-""_""/._(;",,"-",,,,"19/Feb/2025:06:26:45.819 -0500",,,,,"en-US",,,,,,,,,,,,,,"/opt/splunk/var/log/splunk/splunkd_ui_access.log","splunkd_ui_access",1,kali,,200,,,,,0,48,18,,,"/en-US/splunkd/__raw/services/search/timeparser?output_mode=json&time=0&_=1739964386143",,"/en-US/splunkd/__raw/services/search/timeparser","output_mode=json&time=0&_=1739964386143",,,kali,"Mozilla/5.0 (X11; Linux x86_64; rv:128.0) Gecko/20100101 Firefox/128.0","HTTP/1.1",,,
,,"02-19-2025 06:26:45.534 -0500 INFO  Metrics - group=search_concurrency, name=search_queue_metrics, enqueue_seaches_count=0, avg_time_spent_in_queue=""0.000"", max_time_spent_in_queue=0, current_queue_size=0, largest_queue_size=0, min_queue_size=0","2025-02-19T06:26:45.534-0500",,,,,,,,,,,,,,,,,"0.000",,,,,,,,,,Metrics,,,,,,,,,,0,,,6,19,26,february,45,wednesday,2025,"-300",,,,,,,,,0,"group=search_concurrency, name=search_queue_metrics, enqueue_seaches_count=0, avg_time_spent_in_queue=""0.000"", max_time_spent_in_queue=0, current_queue_size=0, largest_queue_size=0, min_queue_size=0",,,,,,,"search_concurrency",,kali,,,,,,"_internal",,,,,,,,0,,,,,1,,INFO,,0,,,,,,0,,,,,,,,,,,,"search_queue_metrics",,,,,,,,,,,,"--_::._-____-_=,_=,_=,_=""."",_=,_=,_=,_=",,,,,,,,,,,,,,,,,,,,,,,,,"/opt/splunk/var/log/splunk/metrics.log",splunkd,,kali,,,,,,,,29,0,,,,,,,,,,,,,,
,,"02-19-2025 06:26:45.534 -0500 INFO  Metrics - group=search_concurrency, user=kali, active_hist_searches=0, active_realtime_searches=1","2025-02-19T06:26:45.534-0500",,,0,1,,,,,,,,,,,,,,,,,,,,,,,Metrics,,,,,,,,,,,,,6,19,26,february,45,wednesday,2025,"-300",,,,,,,,,,"group=search_concurrency, user=kali, active_hist_searches=0, active_realtime_searches=1",,,,,,,"search_concurrency",,kali,,,,,,"_internal",,,,,,,,,,,,,1,,INFO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"--_::._-____-_=,_=,_=,_=",,,,,,,,,,,,,,,,,,,,,,,,,"/opt/splunk/var/log/splunk/metrics.log",splunkd,,kali,,,,,,,,29,0,,,,,,,,,kali,,,,,
,,"02-19-2025 06:26:45.534 -0500 INFO  Metrics - group=search_concurrency, system total, active_hist_searches=0, active_realtime_searches=1","2025-02-19T06:26:45.534-0500",,,0,1,,,,,,,,,,,,,,,,,,,,,,,Metrics,,,,,,,,,,,,,6,19,26,february,45,wednesday,2025,"-300",,,,,,,,,,"group=search_concurrency, system total, active_hist_searches=0, active_realtime_searches=1",,,,,,,"search_concurrency",,kali,,,,,,"_internal",,,,,,,,,,,,,1,,INFO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"--_::._-____-_=,__,_=,_=",,,,,,,,,,,,,,,,,,,,,,,,,"/opt/splunk/var/log/splunk/metrics.log",splunkd,,kali,,,,,,,,29,0,,,,,,,,,,,,,,
,,"02-19-2025 06:26:45.534 -0500 INFO  Metrics - group=regex_cache, hits=2101, misses=31, discarded_new=0, discarded_old=0, num_evictions=0","2025-02-19T06:26:45.534-0500",,,,,,,,,,,,,,,,,,,,,,,,,,,Metrics,,,,,,,,,,,,,6,19,26,february,45,wednesday,2025,"-300",,0,0,,,,,,,"group=regex_cache, hits=2101, misses=31, discarded_new=0, discarded_old=0, num_evictions=0",,,,,,,"regex_cache",2101,kali,,,,,,"_internal",,,,,,,,,,,,,1,,INFO,,,,,,,,,31,,,,,,,,,,,,,,,0,,,,,,,,"--_::._-____-_=,_=,_=,_=,_=,_=",,,,,,,,,,,,,,,,,,,,,,,,,"/opt/splunk/var/log/splunk/metrics.log",splunkd,,kali,,,,,,,,29,0,,,,,,,,,,,,,,
,,"02-19-2025 06:26:45.534 -0500 INFO  Metrics - group=realtime_search_data, system total, drop_count=0, mean_preview_period=""2.233""","2025-02-19T06:26:45.534-0500",,,,,,,,,,,,,,,,,,,,,,,,,,,Metrics,,,,,,,,,,,,,6,19,26,february,45,wednesday,2025,"-300",,,,0,,,,,,"group=realtime_search_data, system total, drop_count=0, mean_preview_period=""2.233""",,,,,,,"realtime_search_data",,kali,,,,,,"_internal",,,,,,,,,,,,,1,,INFO,,,,,"2.233",,,,,,,,,,,,,,,,,,,,,,,,,,,"--_::._-____-_=,__,_=,_="".""",,,,,,,,,,,,,,,,,,,,,,,,,"/opt/splunk/var/log/splunk/metrics.log",splunkd,,kali,,,,,,,,29,0,,,,,,,,,,,,,,
,,"02-19-2025 06:26:45.534 -0500 INFO  Metrics - group=realtime_search_data, sid=rt_md_1739964386.3, mean_preview_period=""2.233""","2025-02-19T06:26:45.534-0500",,,,,,,,,,,,,,,,,,,,,,,,,,,Metrics,,,,,,,,,,,,,6,19,26,february,45,wednesday,2025,"-300",,,,,,,,,,"group=realtime_search_data, sid=rt_md_1739964386.3, mean_preview_period=""2.233""",,,,,,,"realtime_search_data",,kali,,,,,,"_internal",,,,,,,,,,,,,1,,INFO,,,,,"2.233",,,,,,,,,,,,,,,,,,,,,,,,,,,"--_::._-____-_=,_=.,_="".""",,,,,,,,,,,,,,,,,,,"rt_md_1739964386.3",,,,,,"/opt/splunk/var/log/splunk/metrics.log",splunkd,,kali,,,,,,,,29,0,,,,,,,,,,,,,,
,,"02-19-2025 06:26:45.534 -0500 INFO  Metrics - group=pipelineset, name=load_metrics, ingest_pipe=0, busiest_thread_name=indexerPipe, dutycycle_ratio=""0.012"", share=""1.000"", requests_last_period=14","2025-02-19T06:26:45.534-0500",,,,,,,,,,,,,,,,,,,,indexerPipe,,,,,,,Metrics,,,,,,,,,,,,,6,19,26,february,45,wednesday,2025,"-300",,,,,,,,"0.012",,"group=pipelineset, name=load_metrics, ingest_pipe=0, busiest_thread_name=indexerPipe, dutycycle_ratio=""0.012"", share=""1.000"", requests_last_period=14",,,,,,,pipelineset,,kali,,,,,,"_internal",0,,,,,,,,,,,,1,,INFO,,,,,,,,,,,,,,,,,,,,"load_metrics",,,,,,,,,,,,"--_::._-____-_=,_=,_=,_=,_=""."",_=""."",_=",,,,,,,,,14,,,,,,"1.000",,,,,,,,,,"/opt/splunk/var/log/splunk/metrics.log",splunkd,,kali,,,,,,,,29,0,,,,,,,,,,,,,,
,,"02-19-2025 06:26:45.534 -0500 INFO  Metrics - group=mpool, max_used_interval=102484, max_used=3182380, avg_rsv=1133, capacity=134217728, used=0, rep_used=0","2025-02-19T06:26:45.534-0500",,,,,,,,,,,,,,,,1133,,,,,,,134217728,,,,Metrics,,,,,,,,,,,,,6,19,26,february,45,wednesday,2025,"-300",,,,,,,,,,"group=mpool, max_used_interval=102484, max_used=3182380, avg_rsv=1133, capacity=134217728, used=0, rep_used=0",,,,,,,mpool,,kali,,,,,,"_internal",,,,,,,,,,,,,1,,INFO,,,3182380,102484,,,,,,,,,,,,,,,,,,,,,,,,,,,,"--_::._-____-_=,_=,_=,_=,_=,_=,_=",,,,,0,,,,,,,,,,,,,,,,,,,,"/opt/splunk/var/log/splunk/metrics.log",splunkd,,kali,,,,,,,,29,0,,,,,,,,0,,,,,,
